unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
44,45,Jeep,Wagoneer S,2016,Calcium-ion,45.2,216,Overhead Pantograph Charging,2.6,31697.8,Matte White,Italy,0.0,0.0,3.0,16085,3
45,46,Tesla,Cybertruck,2019,Nickel-manganese-cobalt,82.2,274,NACS,11.6,60297.41,Aurora Blue,Canada,3.0,0.0,5.0,1756,3
46,47,Ford,E-Transit,2016,Lithium-iron phosphate,35.4,491,Vehicle-to-Grid (V2G),7.5,124888.9,Crimson Red,South Africa,3.0,0.0,4.0,10006,5
48,49,Cadillac,Celestiq,2019,Lithium-ion,50.1,461,Solar Charging,8.6,84483.76,Sky Blue,Austria,5.0,0.0,3.0,13930,3
49,50,Maserati,Grecale Folgore,2025,Nickel-metal hydride,138.1,523,CHAdeMO,1.3,49910.73,Magenta,Ireland,4.0,0.0,4.0,9964,5
51,52,Citroen,Ami,2019,Zinc-air,25.2,487,NACS,5.9,108181.14,Bronze,Norway,3.0,0.0,3.0,15401,4
55,56,Jaguar,I-PACE,2022,Aluminum-ion,113.2,360,Battery Swapping,5.3,87899.95,Aurora Blue,Belgium,1.0,0.0,5.0,4473,3
56,57,Toyota,Lexus RZ,2020,Aluminum-ion,122.4,236,Level 1 Charging,3.8,65826.7,Matte Blue,Israel,3.0,0.0,4.0,11309,4
59,60,Great Wall Motors,ORA Lightning Cat,2020,Zinc-air,110.1,432,DC Fast Charging (DCFC),10.3,132280.96,Rose Gold,Saudi Arabia,2.0,0.0,4.0,17728,3
62,63,Ford,F-150 Lightning,2022,Flow batteries,53.0,230,Level 1 Charging,10.8,85830.39,Copper,Saudi Arabia,3.0,0.0,4.0,13903,5
63,64,Honda,Honda Prologue,2019,Lithium-iron phosphate,149.9,536,Vehicle-to-Load (V2L),1.7,75763.72,Teal,Singapore,5.0,0.0,5.0,12969,4
64,65,Tesla,Cybertruck,2025,Magnesium-ion,116.8,125,Vehicle-to-Load (V2L),10.1,138352.19,Navy Blue,Austria,2.0,0.0,4.0,4481,5
65,66,Kia,Soul EV,2019,Magnesium-ion,77.3,396,Overhead Pantograph Charging,8.9,40816.01,Copper,Hungary,1.0,0.0,4.0,17394,5
66,67,Toyota,bZ4X,2019,Aluminum-ion,127.2,346,Solar Charging,9.1,70645.83,Orange,Australia,1.0,0.0,5.0,13022,5
67,68,BYD,Han EV,2021,Lithium-ion,54.4,163,Vehicle-to-Home (V2H),4.7,119881.39,Gold,Israel,5.0,0.0,3.0,15449,3
69,70,Polestar,Polestar 3,2021,Nickel-manganese-cobalt,68.2,586,Vehicle-to-Grid (V2G),7.3,117191.9,Tan,France,4.0,0.0,3.0,12141,3
70,71,Geely,Geometry C,2018,Calcium-ion,67.1,451,Overhead Pantograph Charging,6.8,147341.1,Teal,South Korea,1.0,0.0,4.0,3003,5
73,74,Porsche,Panamera EV,2015,Nickel-metal hydride,116.4,369,CCS,9.1,87149.52,Navy Blue,Argentina,0.0,0.0,5.0,1420,5
76,77,Rivian,R1S,2022,Aluminum-ion,49.7,273,Vehicle-to-Home (V2H),5.1,117553.5,Purple,Vietnam,2.0,0.0,4.0,2199,3
77,78,Hyundai,Kona Electric,2021,Solid-state,116.8,290,CHAdeMO,6.9,100375.81,Matte Gray,United Arab Emirates,0.0,0.0,4.0,1685,4
80,81,Ford,Mustang Mach-E,2016,Lithium-titanate,89.0,292,Vehicle-to-Grid (V2G),5.7,48889.11,Magenta,Hungary,4.0,0.0,3.0,5158,5
85,86,Hyundai,Ioniq 7 (upcoming),2019,Lithium-titanate,64.1,270,NACS,1.4,105986.96,Matte Black,Turkey,2.0,0.0,5.0,4839,3
86,87,Kia,Niro EV,2019,Lithium-iron phosphate,42.6,178,DC Fast Charging (DCFC),2.5,122741.77,Champagne,Australia,4.0,0.0,5.0,10590,5
88,89,Audi,e-tron,2024,Zinc-air,85.9,336,Level 2 Charging,5.7,127177.91,Ruby Red,Denmark,3.0,0.0,4.0,3391,4
89,90,Dacia,Jogger Hybrid,2023,Flow batteries,42.4,226,Vehicle-to-Home (V2H),11.9,92888.23,Sapphire Blue,Netherlands,2.0,0.0,5.0,19591,3
91,92,Seat,Avenger,2017,Zinc-air,112.1,143,Solar Charging,6.9,107219.19,Pink,Italy,5.0,0.0,3.0,13874,5
92,93,BYD,Han EV,2020,Lithium-sulfur,43.4,209,Mobile Charging,11.4,88352.51,Crimson Red,Italy,2.0,0.0,5.0,17253,3
93,94,Mini,Mini Cooper SE,2024,Nickel-metal hydride,97.6,178,NACS,2.6,113141.48,Sapphire Blue,Netherlands,0.0,0.0,3.0,14555,5
94,95,Mazda,Mazda EV (upcoming models),2018,Lead-acid,51.1,594,Vehicle-to-Load (V2L),10.9,53281.94,Sky Blue,Singapore,3.0,0.0,5.0,17283,4
98,99,Lamborghini,Lanzador (upcoming EV),2016,Magnesium-ion,57.5,254,CCS,1.0,80379.07,Burgundy,Finland,0.0,0.0,5.0,538,5
100,101,Nissan,Ariya,2022,Lithium-ion,102.6,291,Battery Swapping,9.1,72851.27,Red,Brazil,5.0,0.0,5.0,10895,3
102,103,VinFast,VF 7,2015,Sodium-ion,141.3,363,Plug-in Hydrogen Refueling,11.9,95163.68,Gold,Japan,1.0,0.0,3.0,10876,4
105,106,Zeekr,Zeekr 009,2025,Magnesium-ion,143.2,138,Plug-in Hydrogen Refueling,4.7,126131.52,Sky Blue,Netherlands,1.0,0.0,4.0,1140,3
106,107,Audi,e-tron GT,2025,Sodium-ion,67.1,586,Level 2 Charging,7.5,111487.45,Turquoise,Argentina,0.0,0.0,4.0,10301,5
107,108,Toyota,bZ4X,2016,Lithium-ion,115.6,355,Plug-in Hydrogen Refueling,11.0,44131.32,Navy Blue,Spain,1.0,0.0,4.0,6559,3
109,110,Dacia,Jogger Hybrid,2020,Lead-acid,49.2,202,CHAdeMO,3.2,89282.63,Turquoise,United Arab Emirates,3.0,0.0,5.0,2825,3
110,111,Subaru,Solterra,2022,Lead-acid,73.4,309,DC Fast Charging (DCFC),1.9,68043.32,Red,Malaysia,4.0,0.0,5.0,19260,3
111,112,Opel,Corsa-e,2021,Lead-acid,138.4,128,CCS,6.5,66494.95,Pearl White,Hungary,1.0,0.0,4.0,2584,4
112,113,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,36.3,255,DC Fast Charging (DCFC),6.3,50236.31,Matte Blue,Sweden,4.0,0.0,5.0,1349,3
113,114,Hyundai,Kona Electric,2025,Magnesium-ion,95.0,433,Inductive (Wireless) Charging,9.3,79990.41,Emerald Green,Germany,5.0,0.0,4.0,15825,3
114,115,Faraday Future,FF 91,2019,Nickel-manganese-cobalt,29.5,130,NACS,5.6,88110.14,Electric Blue,Mexico,2.0,0.0,4.0,13065,3
116,117,Canoo,Pickup,2024,Lithium-titanate,60.7,490,NACS,6.2,91766.98,Champagne,Poland,0.0,0.0,3.0,7049,5
118,119,XPeng,P7,2024,Lead-acid,45.3,383,Solar Charging,1.3,90510.66,Stealth Gray,United Arab Emirates,4.0,0.0,3.0,12907,4
119,120,VinFast,VF 8,2023,Sodium-ion,118.1,201,Plug-in Hydrogen Refueling,6.3,35436.4,Gray,Mexico,4.0,0.0,5.0,4580,4
120,121,GMC,Hummer EV SUV,2017,Nickel-cobalt-aluminum,148.8,478,Solar Charging,7.3,90877.8,Graphite Gray,Saudi Arabia,4.0,0.0,4.0,10854,5
122,123,Canoo,MPDV,2018,Lithium-ion,94.4,458,CCS,2.7,82924.63,Tan,Sweden,1.0,0.0,4.0,2040,5
123,124,Volkswagen,ID.7,2018,Lead-acid,62.3,439,Vehicle-to-Load (V2L),6.5,67650.31,Midnight Black,Australia,2.0,0.0,5.0,8662,5
124,125,Great Wall Motors,ORA Good Cat,2018,Lithium-sulfur,92.6,215,Solar Charging,9.4,114588.11,Ice Silver,Russia,2.0,0.0,5.0,8960,4
125,126,Jaguar,I-PACE,2021,Calcium-ion,64.9,495,CHAdeMO,3.8,64515.64,Cosmic Purple,UK,3.0,0.0,3.0,6621,5
127,128,Opel,Corsa-e,2015,Lead-acid,147.1,180,Vehicle-to-Grid (V2G),8.0,135677.69,Aurora Blue,New Zealand,2.0,0.0,3.0,18813,3
129,130,Kia,EV6,2019,Nickel-manganese-cobalt,148.6,378,Vehicle-to-Load (V2L),10.7,46103.99,Graphite Gray,Australia,0.0,0.0,5.0,8430,5
132,133,Subaru,Solterra,2021,Flow batteries,85.3,558,Solar Charging,8.4,106645.36,Copper,Argentina,1.0,0.0,4.0,19848,4
136,137,BMW,i3,2022,Lithium-ion,57.3,192,CHAdeMO,9.3,147399.99,Ruby Red,Indonesia,3.0,0.0,4.0,12309,3
137,138,Skoda,Elroq (upcoming),2023,Nickel-metal hydride,105.0,278,CCS,2.6,94471.02,Matte Black,Italy,1.0,0.0,4.0,15171,5
140,141,Ferrari,Ferrari EV (2025+),2025,Calcium-ion,61.7,254,CHAdeMO,11.8,92550.13,Tan,Poland,4.0,0.0,3.0,13998,5
141,142,Mahindra,XUV400,2020,Flow batteries,107.3,502,Mobile Charging,8.5,78991.1,Magenta,India,4.0,0.0,4.0,4730,4
143,144,NIO,ET5,2016,Lithium-iron phosphate,124.6,400,Inductive (Wireless) Charging,6.0,134336.86,Pink,Poland,0.0,0.0,5.0,3844,5
144,145,Citroen,ë-Spacetourer,2018,Lithium-titanate,98.6,204,Plug-in Hydrogen Refueling,11.0,96249.52,Navy Blue,Czech Republic,4.0,0.0,4.0,16803,4
145,146,Changan,SL03,2022,Magnesium-ion,129.2,568,Inductive (Wireless) Charging,4.8,79671.62,Matte Green,Austria,0.0,0.0,5.0,13683,4
146,147,Ford,F-150 Lightning,2020,Lithium-iron phosphate,69.4,526,Ultra-Fast Charging (350 kW+),6.2,108552.96,Sky Blue,Mexico,3.0,0.0,4.0,15100,3
147,148,Renault,Scenic E-Tech,2017,Nickel-metal hydride,113.6,350,NACS,11.0,95056.42,Ruby Red,South Korea,0.0,0.0,3.0,13513,3
150,151,Lucid Motors,Lucid DreamDrive,2023,Lithium-sulfur,126.0,236,Plug-in Hydrogen Refueling,1.4,145115.74,Sunset Orange,Singapore,5.0,0.0,3.0,1038,3
151,152,XPeng,P5,2021,Lead-acid,81.9,426,Level 1 Charging,8.6,39922.33,Rose Gold,Vietnam,2.0,0.0,3.0,17306,3
152,153,Volvo,C40 Recharge,2024,Nickel-manganese-cobalt,55.2,573,DC Fast Charging (DCFC),8.4,63644.76,Matte White,Singapore,1.0,0.0,3.0,19235,3
155,156,Fisker,Pear (upcoming),2021,Nickel-metal hydride,108.4,438,Plug-in Hydrogen Refueling,1.5,104233.91,Cobalt Blue,Belgium,0.0,0.0,5.0,5055,5
157,158,Nissan,Leaf,2020,Lead-acid,32.1,406,Mobile Charging,10.4,31480.87,Tan,India,5.0,0.0,3.0,18741,5
158,159,Mercedes-Benz,EQS SUV,2017,Nickel-metal hydride,55.0,237,Vehicle-to-Load (V2L),2.2,50064.89,Bronze,Indonesia,0.0,0.0,5.0,16246,5
159,160,GMC,Hummer EV Pickup,2022,Solid-state,37.6,103,Plug-in Hydrogen Refueling,4.3,104423.06,Cobalt Blue,Mexico,3.0,0.0,5.0,4460,4
160,161,Rimac,Nevera,2022,Sodium-ion,43.1,303,Mobile Charging,3.9,113394.93,Champagne,Singapore,2.0,0.0,4.0,11960,3
162,163,Mahindra,XUV400,2025,Lithium-sulfur,51.5,437,CHAdeMO,8.7,124689.21,Red,Malaysia,3.0,0.0,5.0,13706,5
163,164,Chevrolet,Volt (PHEV),2023,Zinc-air,103.0,143,CCS,9.3,108912.2,Teal,Netherlands,0.0,0.0,5.0,13094,4
167,168,Acura,ZDX (with GM Ultium),2017,Flow batteries,105.5,302,Level 1 Charging,9.0,135971.68,Candy Apple Red,Israel,0.0,0.0,5.0,2050,5
168,169,Kia,Niro EV,2020,Sodium-ion,45.6,158,Battery Swapping,8.2,88738.08,Emerald Green,Hungary,4.0,0.0,4.0,15003,5
169,170,Porsche,Panamera EV,2024,Zinc-air,31.0,168,Mobile Charging,1.9,66645.6,Midnight Black,Argentina,4.0,0.0,5.0,12573,4
170,171,Porsche,Cayenne Electric (upcoming),2025,Lead-acid,110.1,430,NACS,6.9,88757.04,Gray,Norway,3.0,0.0,3.0,15879,3
172,173,Volvo,EX30,2017,Magnesium-ion,79.5,480,Vehicle-to-Load (V2L),6.8,43585.32,Orange,Portugal,2.0,0.0,5.0,14462,5
173,174,Rivian,R1S,2016,Lithium-titanate,127.9,484,Ultra-Fast Charging (350 kW+),3.9,149917.52,Candy Apple Red,Spain,0.0,0.0,3.0,6877,5
174,175,Jeep,Wagoneer S,2024,Flow batteries,75.7,415,CHAdeMO,9.5,127623.58,Cobalt Blue,South Korea,4.0,0.0,4.0,9589,4
175,176,Ferrari,Roma PHEV,2023,Aluminum-ion,108.3,148,CHAdeMO,11.6,124282.93,Blue,Portugal,1.0,0.0,3.0,10554,3
176,177,Citroen,Ami,2021,Nickel-manganese-cobalt,38.5,423,Battery Swapping,7.7,75020.68,Red,UK,5.0,0.0,4.0,14899,4
177,178,Rimac,Nevera,2016,Lithium-titanate,146.4,425,Overhead Pantograph Charging,10.3,125481.35,Cream,Switzerland,1.0,0.0,4.0,11067,5
181,182,Audi,e-tron GT,2021,Solid-state,115.0,152,CCS,4.1,135718.68,Gray,India,1.0,0.0,3.0,17383,5
183,184,NIO,ES8,2021,Sodium-ion,122.8,226,Battery Swapping,7.9,59780.04,Gun Metal,Ireland,2.0,0.0,5.0,9884,3
184,185,Lotus,Evija,2023,Lithium-iron phosphate,117.2,251,Level 2 Charging,9.5,125253.36,Forest Green,Russia,1.0,0.0,5.0,395,4
188,189,Subaru,Solterra,2016,Lithium-ion,112.0,459,Level 1 Charging,2.4,144361.94,Matte Black,South Africa,5.0,0.0,5.0,8806,5
189,190,Jaguar,I-PACE,2020,Magnesium-ion,75.8,368,DC Fast Charging (DCFC),3.5,147006.07,Emerald Green,China,4.0,0.0,5.0,5468,4
190,191,Mercedes-Benz,EQA,2016,Aluminum-ion,94.6,470,CCS,3.1,91058.99,Silver,USA,3.0,0.0,3.0,1158,5
192,193,Changan,Deepal S07,2019,Sodium-ion,31.2,333,Level 1 Charging,4.7,64991.41,Burgundy,Poland,1.0,0.0,4.0,6403,5
193,194,Maserati,Grecale Folgore,2017,Lithium-ion,141.2,112,Ultra-Fast Charging (350 kW+),6.7,106313.02,Ice Silver,USA,0.0,0.0,5.0,10076,3
194,195,Rivian,EDV (Electric Delivery Van),2018,Nickel-cobalt-aluminum,84.0,130,CHAdeMO,8.7,41163.2,Crimson Red,South Africa,2.0,0.0,5.0,3131,5
195,196,Volkswagen,ID.Buzz,2021,Solid-state,96.9,131,Vehicle-to-Grid (V2G),8.1,45684.99,Copper,Spain,3.0,0.0,4.0,14835,4
196,197,Volvo,XC40 Recharge,2018,Nickel-metal hydride,121.4,399,CCS,2.3,49725.0,Sunset Orange,Hungary,4.0,0.0,4.0,10102,4
200,201,Faraday Future,FF 91,2016,Lithium-ion,142.5,125,NACS,11.1,81978.77,Volcanic Yellow,Thailand,3.0,0.0,3.0,6132,4
202,203,Acura,ZDX (with GM Ultium),2021,Magnesium-ion,112.7,345,Vehicle-to-Load (V2L),4.5,97878.13,Purple,India,0.0,0.0,4.0,1919,4
203,204,Lotus,Emeya,2024,Lithium-iron phosphate,146.6,151,Ultra-Fast Charging (350 kW+),8.1,61983.24,Platinum,South Korea,1.0,0.0,4.0,11626,3
205,206,Porsche,Cayenne Electric (upcoming),2015,Solid-state,27.3,408,Ultra-Fast Charging (350 kW+),0.7,87358.68,Pink,Finland,1.0,0.0,4.0,1951,3
207,208,Mahindra,Born Electric (upcoming range),2017,Lithium-titanate,145.9,455,Overhead Pantograph Charging,3.1,100674.02,Midnight Black,India,5.0,0.0,3.0,18770,4
208,209,Opel,Grandland Electric,2015,Nickel-metal hydride,98.3,571,Ultra-Fast Charging (350 kW+),7.9,42493.23,Champagne,Sweden,0.0,0.0,3.0,2907,5
209,210,Mini,Mini Aceman,2020,Nickel-manganese-cobalt,21.5,207,Ultra-Fast Charging (350 kW+),8.5,72057.74,Burgundy,France,0.0,0.0,3.0,13566,4
210,211,NIO,ES8,2023,Nickel-cobalt-aluminum,33.2,345,Ultra-Fast Charging (350 kW+),2.4,38845.13,Rose Gold,Japan,2.0,0.0,4.0,5574,4
213,214,Lucid Motors,Lucid Air,2015,Lithium-iron phosphate,42.2,249,DC Fast Charging (DCFC),5.9,43861.07,Burgundy,Thailand,5.0,0.0,4.0,6058,4
215,216,Li Auto,L8,2023,Lithium-ion,129.3,519,Vehicle-to-Grid (V2G),11.6,112448.15,Aurora Blue,Singapore,3.0,0.0,5.0,1137,5
217,218,Canoo,MPDV,2017,Calcium-ion,97.4,263,DC Fast Charging (DCFC),1.5,96763.7,Matte Gray,Hungary,4.0,0.0,5.0,19253,5
218,219,VinFast,VF 9,2016,Nickel-cobalt-aluminum,39.5,390,CCS,11.1,97522.05,Yellow,Czech Republic,2.0,0.0,5.0,15911,5
220,221,Canoo,Pickup,2019,Lithium-sulfur,129.6,539,CCS,11.7,57354.89,Magenta,Malaysia,2.0,0.0,5.0,2925,3
221,222,Geely,Geometry A,2021,Lithium-titanate,83.0,364,Overhead Pantograph Charging,9.9,91832.36,Pearl White,China,4.0,0.0,5.0,18634,3
222,223,Porsche,Macan EV,2018,Calcium-ion,27.5,116,Vehicle-to-Home (V2H),1.1,73245.01,Metallic Silver,Portugal,3.0,0.0,3.0,1001,3
224,225,Ferrari,SF90 Stradale (PHEV),2018,Flow batteries,49.3,205,Battery Swapping,8.0,91593.75,Navy Blue,USA,1.0,0.0,3.0,7332,4
227,227,Genesis,GV80 Electric,2019,Flow batteries,34.1,132,Mobile Charging,11.9,106871.37,Bronze,Spain,5.0,0.0,3.0,1860,5
228,228,XPeng,G9,2025,Nickel-metal hydride,113.8,435,Vehicle-to-Load (V2L),12.0,61131.15,Tan,Thailand,0.0,0.0,3.0,11244,5
229,229,Dacia,Jogger Hybrid,2025,Lead-acid,103.0,343,Overhead Pantograph Charging,6.3,131450.31,Titanium,United Arab Emirates,0.0,0.0,5.0,18318,3
230,230,Skoda,Enyaq Coupe,2025,Solid-state,48.9,214,Solar Charging,5.3,136421.23,Turquoise,Spain,3.0,0.0,5.0,19122,5
232,232,Rimac,Nevera,2016,Nickel-manganese-cobalt,63.2,190,Mobile Charging,7.8,30565.62,Bronze,Switzerland,1.0,0.0,3.0,4240,5
234,234,Seat,Avenger,2019,Nickel-metal hydride,33.4,357,Solar Charging,2.4,128861.26,Magenta,Czech Republic,4.0,0.0,5.0,4384,4
235,235,Mahindra,Born Electric (upcoming range),2018,Nickel-metal hydride,143.3,570,Plug-in Hydrogen Refueling,0.7,56918.56,Gray,Switzerland,4.0,0.0,5.0,1224,4
238,238,Cadillac,Lyriq,2019,Calcium-ion,88.0,203,Overhead Pantograph Charging,8.6,65442.14,Silver,United Arab Emirates,1.0,0.0,3.0,89,3
239,239,Mini,Mini Electric,2016,Calcium-ion,94.6,352,CHAdeMO,11.4,123543.15,Red,France,5.0,0.0,4.0,8654,4
241,241,Genesis,GV70 Electric,2020,Sodium-ion,136.3,589,Battery Swapping,10.6,41154.16,Platinum,Mexico,3.0,0.0,4.0,15671,4
242,242,Genesis,GV70 Electric,2016,Nickel-metal hydride,110.5,130,NACS,1.7,139347.21,Aurora Blue,Singapore,1.0,0.0,5.0,944,5
244,244,Ferrari,SF90 Stradale (PHEV),2025,Calcium-ion,64.0,367,CCS,5.5,117198.24,Aurora Blue,Brazil,5.0,0.0,5.0,1788,3
245,245,Genesis,GV70 Electric,2023,Calcium-ion,81.0,353,NACS,1.4,88997.76,Forest Green,Mexico,0.0,0.0,4.0,13214,3
247,247,GMC,Hummer EV SUV,2023,Lead-acid,46.9,443,Vehicle-to-Home (V2H),11.4,73601.1,Blue,Austria,2.0,0.0,4.0,11904,5
249,249,Volkswagen,ID.2all,2021,Solid-state,53.1,200,Inductive (Wireless) Charging,1.9,132263.32,Electric Blue,Australia,1.0,0.0,4.0,1523,5
250,250,Skoda,Elroq (upcoming),2016,Magnesium-ion,135.9,334,CHAdeMO,11.6,30520.52,Racing Red,South Korea,3.0,0.0,5.0,5806,5
251,251,Jeep,Grand Cherokee 4xe (PHEV),2017,Solid-state,70.4,407,Mobile Charging,6.3,76159.52,Gun Metal,Belgium,2.0,0.0,3.0,4527,4
252,252,Cadillac,Optiq (upcoming),2023,Lithium-sulfur,129.6,380,Mobile Charging,8.7,142261.45,Emerald Green,Switzerland,4.0,0.0,5.0,4347,5
253,253,Genesis,GV70 Electric,2023,Lead-acid,110.3,265,CCS,9.2,97473.63,Matte Blue,Singapore,5.0,0.0,5.0,9369,4
254,254,Faraday Future,FF 91,2023,Solid-state,23.3,174,Level 2 Charging,8.2,53988.29,Stealth Gray,Netherlands,5.0,0.0,5.0,9671,3
255,255,Citroen,Ami,2015,Sodium-ion,125.8,152,Ultra-Fast Charging (350 kW+),9.0,97352.47,Forest Green,Turkey,5.0,0.0,4.0,12699,4
256,256,VinFast,VF 8,2023,Lithium-ion,21.7,228,Inductive (Wireless) Charging,7.6,123710.99,Candy Apple Red,Austria,5.0,0.0,5.0,17911,5
257,257,Cadillac,Lyriq,2018,Lithium-sulfur,78.3,449,DC Fast Charging (DCFC),2.7,50855.42,Graphite Gray,Canada,3.0,0.0,3.0,19136,4
258,258,Tesla,Model X,2022,Lithium-titanate,141.9,120,CHAdeMO,11.2,101625.64,Navy Blue,Finland,2.0,0.0,4.0,2388,5
259,259,Rimac,Nevera,2017,Lead-acid,28.9,358,NACS,5.3,94444.31,Green,Brazil,1.0,0.0,4.0,7158,5
260,260,Lotus,Emeya,2023,Calcium-ion,117.8,432,Level 1 Charging,1.8,71520.87,Forest Green,Finland,1.0,0.0,4.0,12496,3
262,262,Maserati,Grecale Folgore,2025,Solid-state,47.4,422,Inductive (Wireless) Charging,10.4,80905.13,Yellow,Switzerland,5.0,0.0,4.0,2363,5
267,267,Subaru,Solterra,2020,Lithium-iron phosphate,73.6,430,CHAdeMO,2.4,56494.56,Titanium,Spain,1.0,0.0,3.0,17984,4
269,269,Rimac,Nevera,2022,Sodium-ion,100.1,256,CHAdeMO,7.0,73739.21,Purple,Vietnam,2.0,0.0,5.0,14290,4
271,271,Maserati,Grecale Folgore,2019,Lithium-titanate,135.2,139,DC Fast Charging (DCFC),10.8,131950.47,Emerald Green,Germany,4.0,0.0,3.0,18074,4
273,273,Tesla,Roadster (upcoming),2018,Calcium-ion,145.3,414,NACS,9.2,46844.48,Pearl White,Norway,4.0,0.0,5.0,15843,4
275,275,Dacia,Bigster EV (upcoming),2019,Zinc-air,90.8,189,Plug-in Hydrogen Refueling,8.0,73835.61,Ruby Red,China,3.0,0.0,4.0,11563,4
277,277,Faraday Future,FF 91,2016,Nickel-manganese-cobalt,107.8,345,Inductive (Wireless) Charging,7.3,107671.11,Tan,Germany,1.0,0.0,5.0,16798,3
278,278,Ferrari,SF90 Stradale (PHEV),2015,Nickel-metal hydride,53.6,192,Plug-in Hydrogen Refueling,7.4,97632.56,Black,Czech Republic,1.0,0.0,4.0,5589,3
279,279,Li Auto,L8,2024,Calcium-ion,119.8,419,Battery Swapping,2.4,112270.94,Sunset Orange,Ireland,1.0,0.0,3.0,6630,5
281,281,Genesis,G80 Electric,2023,Nickel-cobalt-aluminum,68.1,122,Vehicle-to-Grid (V2G),3.1,126276.02,Burgundy,India,5.0,0.0,5.0,3201,4
283,283,Lotus,Eletre,2021,Flow batteries,46.7,511,Mobile Charging,5.2,42789.99,Brown,Israel,4.0,0.0,4.0,13023,3
285,285,Rivian,EDV (Electric Delivery Van),2021,Magnesium-ion,64.0,381,Level 2 Charging,2.3,145748.43,White,UK,3.0,0.0,3.0,8620,3
